BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
28.03.2024;10:00;CET;28.03.2024;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;400;400;1200;TenneT DE;TenneT DE;EE Bayern;Erneuerbar
28.03.2024;11:00;CET;28.03.2024;19:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;41,75;65;334;TenneT DE;TenneT DE;Frankfurt West 4;Konventionell
28.03.2024;11:00;CET;28.03.2024;12:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;12,5;20;12,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Pumpspeicherwerk Glems;Erneuerbar
28.03.2024;11:00;CET;28.03.2024;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;8;8;16;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Iven;Erneuerbar
28.03.2024;11:00;CET;28.03.2024;13:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;12,1;20;30,25;TenneT DE;TenneT DE;OWP UW Büttel;Erneuerbar
28.03.2024;12:00;CET;28.03.2024;23:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;103,48;135;1190;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Vorarlberger Ilwerke;Erneuerbar
28.03.2024;12:00;CET;28.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;825;1000;3300;TenneT DE;TenneT DE;Börse;Sonstiges
28.03.2024;12:30;CET;28.03.2024;19:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;173;261;1257;50Hertz;50Hertz;Schkopau;Konventionell
28.03.2024;12:45;CET;28.03.2024;19:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;89;165;223;50Hertz;50Hertz;Börse;Sonstiges
28.03.2024;13:15;CET;28.03.2024;19:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;64;100;350;50Hertz;50Hertz;50H_WEMA_CR_PE;Erneuerbar
28.03.2024;13:30;CET;28.03.2024;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;165;165;742;50Hertz;50Hertz;Boxberg (Standort);Konventionell
28.03.2024;13:30;CET;28.03.2024;14:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;62;50Hertz;50Hertz;50H_WEMA_CR_GOE;Erneuerbar
28.03.2024;13:30;CET;28.03.2024;19:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;54,36;65;299;TenneT DE;TenneT DE;OWP UW Dörpen-West;Erneuerbar
28.03.2024;14:00;CET;28.03.2024;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;197;400;1575;50Hertz;50Hertz;50H_EDIS_CR_PAS;Erneuerbar
28.03.2024;14:00;CET;28.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;8;8;8;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Iven;Erneuerbar
28.03.2024;14:00;CET;28.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;13;13;13;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H OWP Arkona;Erneuerbar
28.03.2024;14:00;CET;28.03.2024;16:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;45;60;112,5;TenneT DE;TenneT DE;EE Niedersachsen;Erneuerbar
28.03.2024;14:00;CET;28.03.2024;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;86,56;193;346,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Diele;Erneuerbar
28.03.2024;14:00;CET;28.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;43,5;85;261;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
28.03.2024;14:30;CET;28.03.2024;16:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;100;100;200;50Hertz;50Hertz;50H_EDIS_CR_SOW_Sued;Erneuerbar
28.03.2024;15:00;CET;28.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;4;4;4;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Bertikow;Erneuerbar
28.03.2024;15:00;CET;28.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;19;28;56;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Wessin;Erneuerbar
28.03.2024;15:30;CET;28.03.2024;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;55;65;137,5;TenneT DE;TenneT DE;SHN Cluster Süderdonn T412 T413;Erneuerbar
28.03.2024;16:45;CET;28.03.2024;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;235;315;1234;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block B;Konventionell
28.03.2024;16:45;CET;28.03.2024;22:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;371;570;1946;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block D;Konventionell
28.03.2024;16:45;CET;28.03.2024;23:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;60,07;190;210,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Dörpen-West;Erneuerbar
28.03.2024;17:30;CET;28.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;42;100;115;50Hertz;50Hertz;Börse;Sonstiges
28.03.2024;17:30;CET;28.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;71;100;390;50Hertz;50Hertz;50H UW Bertikow;Erneuerbar
28.03.2024;18:00;CET;28.03.2024;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;100;100;275;TransnetBW;50Hertz;Vorarlberger Ilwerke;Erneuerbar
28.03.2024;18:00;CET;28.03.2024;19:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;101;101;101;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Schkopau;Konventionell
28.03.2024;22:00;CET;29.03.2024;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;245;245;490;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block D;Konventionell
28.03.2024;22:00;CET;29.03.2024;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;125;125;250;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
28.03.2024;22:00;CET;29.03.2024;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;120;120;240;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Dörpen-West;Erneuerbar
28.03.2024;22:45;CET;29.03.2024;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;58;90;72,5;TenneT DE;TenneT DE;EE Niedersachsen;Erneuerbar
29.03.2024;00:00;CET;29.03.2024;21:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;277;460;4086;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Emsland Block D;Konventionell
29.03.2024;00:00;CET;29.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;90;90;1260;TenneT DE;TenneT DE;EE Niedersachsen;Erneuerbar
29.03.2024;00:00;CET;29.03.2024;10:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;93,5;123;935;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
29.03.2024;00:00;CET;29.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;84,88;126;1358;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Dörpen-West;Erneuerbar
29.03.2024;00:00;CET;29.03.2024;10:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;43,29;63;303;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Dörpen-West;Erneuerbar
29.03.2024;08:00;CET;29.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;8;8;56;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;Netzreservekraftwerk UPM Schongau;Konventionell
29.03.2024;08:30;CET;29.03.2024;14:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;40;40;230;TenneT DE;TenneT DE;EE Niedersachsen;Erneuerbar
29.03.2024;09:00;CET;29.03.2024;13:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;355,56;400;1600;TenneT DE;TenneT DE;EE Bayern;Erneuerbar
29.03.2024;09:15;CET;29.03.2024;11:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;100;50Hertz;50Hertz;50H_WEMA_CR_GOE;Erneuerbar
29.03.2024;12:30;CET;29.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;1;1;4;50Hertz;50Hertz;Börse;Sonstiges
29.03.2024;12:30;CET;29.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1;1;4;50Hertz;50Hertz;50H UW Bertikow;Erneuerbar
29.03.2024;13:00;CET;29.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;150;50Hertz;50Hertz;50H_EDIS_CR_SOW_Sued;Erneuerbar
29.03.2024;15:00;CET;30.03.2024;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;152,78;210;1375;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
29.03.2024;16:00;CET;29.03.2024;21:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;46,29;101;81;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
29.03.2024;16:15;CET;29.03.2024;18:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;61;80;107;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Boxberg (Standort);Konventionell
29.03.2024;16:45;CET;29.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;40;40;10;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;Jänschwalde (Standort);Konventionell
29.03.2024;18:45;CET;30.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;135;145;710;50Hertz;50Hertz;Lippendorf EnBW;Konventionell
29.03.2024;18:45;CET;30.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;135;145;710;50Hertz;50Hertz;Lippendorf VE;Konventionell
29.03.2024;18:45;CET;30.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;86;156;451;50Hertz;50Hertz;Boxberg (Standort);Konventionell
29.03.2024;18:45;CET;29.03.2024;22:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;34;35;111;50Hertz;50Hertz;50H Berlin Reuter West;Konventionell
29.03.2024;18:45;CET;29.03.2024;23:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;170;191;724;50Hertz;50Hertz;Schkopau;Konventionell
29.03.2024;20:30;CET;30.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;112,14;120;392,5;TenneT DE;TenneT DE;Zolling 5;Konventionell
29.03.2024;20:30;CET;30.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;112;120;392;50Hertz;TenneT DE;Jänschwalde (Standort);Konventionell
29.03.2024;20:45;CET;29.03.2024;21:00;CET;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhöhen;30;30;7,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
29.03.2024;21:00;CET;30.03.2024;00:00;CET;Strombedingter Countertrade DE-DK1;Wirkleistungseinspeisung erhöhen;816,67;1100;2450;TenneT DE;TenneT DE;Börse;Sonstiges
29.03.2024;21:00;CET;29.03.2024;21:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;61;61;15,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Emden-Ost;Erneuerbar
29.03.2024;21:00;CET;29.03.2024;21:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;61;61;15,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Dörpen-West;Erneuerbar
29.03.2024;21:00;CET;29.03.2024;21:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;61;61;15,25;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Diele;Erneuerbar
29.03.2024;23:00;CET;30.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;134;134;134;50Hertz;50Hertz;Jänschwalde (Standort);Konventionell
30.03.2024;00:00;CET;30.03.2024;00:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;90;120;45;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;145;145;3480;50Hertz;50Hertz;Lippendorf VE;Konventionell
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;145;145;3480;50Hertz;50Hertz;Lippendorf EnBW;Konventionell
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;126,58;200;2246,75;TenneT DE;TenneT DE;Zolling 5;Konventionell
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Strombedingter Countertrade DE-DK1;Wirkleistungseinspeisung erhöhen;670;1100;3350;TenneT DE;TenneT DE;Börse;Sonstiges
30.03.2024;00:00;CET;30.03.2024;00:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;90;120;45;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
30.03.2024;00:00;CET;30.03.2024;19:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;124;156;372;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NIEHL-31-GUD;Konventionell
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;120;120;1797;50Hertz;50Hertz;50H Berlin Mitte;Konventionell
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;112;142;1686;50Hertz;50Hertz;50H Berlin Marzahn;Konventionell
30.03.2024;00:00;CET;30.03.2024;17:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;108;290;1215;50Hertz;50Hertz;Börse;Sonstiges
30.03.2024;00:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;123,2;200;2186,75;TenneT DE;TenneT DE;Börse;Sonstiges
30.03.2024;08:00;CET;30.03.2024;16:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;213,18;260;1758,75;TenneT DE;TenneT DE & APG;Zolling 5;Konventionell
30.03.2024;08:00;CET;30.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;228,5;350;3427,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 5;Konventionell
30.03.2024;08:00;CET;30.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;169;225;1350;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KMW_KW3;Konventionell
30.03.2024;08:00;CET;30.03.2024;16:15;CET;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung erhöhen;77,6;260;194;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
30.03.2024;08:00;CET;30.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;158,65;300;1586,5;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;OWP UW Büttel;Erneuerbar
30.03.2024;08:30;CET;30.03.2024;15:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;30,57;33;214;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Braunschweig GT;Konventionell
30.03.2024;09:00;CET;30.03.2024;09:45;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;120;121;90;TenneT DE;TenneT DE;Börse;Sonstiges
30.03.2024;09:00;CET;30.03.2024;23:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;109,33;145;902;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Zolling 5;Konventionell
30.03.2024;09:00;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;57,44;103;229,75;TransnetBW;TenneT DE;Vorarlberger Ilwerke;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;305,42;410;3665;TransnetBW;TenneT DE & APG;Reservekraftwerk Altbach/Deizisau Block 1;Konventionell
30.03.2024;09:00;CET;30.03.2024;16:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;118,88;267;713,25;TransnetBW;TenneT DE & APG;Vorarlberger Ilwerke;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;354,83;510;2129;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Vorarlberger Ilwerke;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;100;110;500;50Hertz;TenneT DE;50H_MNS_CR_LAU_Nord;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;150;150;750;50Hertz;TenneT DE;50H_AVA_CR_WOL;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;95;221;452;50Hertz;TenneT DE;50H OWP Wikinger;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;14;31;115;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Putlitz;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;56;98;390;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Bertikow;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;4;15;25;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Wustermark;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;12;55;62;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Schönewalde;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;197;245;1579;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H PV Witznitz;Erneuerbar
30.03.2024;09:00;CET;30.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;167;206;1170;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H OWP Arcadis Ost 1;Erneuerbar
30.03.2024;09:15;CET;30.03.2024;23:00;CET;Strombedingter Countertrade DE-DK2;Wirkleistungseinspeisung erhöhen;23;60;149;50Hertz;50Hertz;Börse;Sonstiges
30.03.2024;09:30;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;225;50Hertz;TenneT DE;50H_MNS_CR_LAU_Sued;Erneuerbar
30.03.2024;09:30;CET;30.03.2024;13:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;110;110;440;50Hertz;TenneT DE;50H_MNS_CR_MA_Nord;Erneuerbar
30.03.2024;09:30;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;260;260;1170;50Hertz;TenneT DE;50H_AVA_CR_STW;Erneuerbar
30.03.2024;09:30;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;112;120;505;50Hertz;TenneT DE;50H_AVA_CR_FOE;Erneuerbar
30.03.2024;09:30;CET;30.03.2024;14:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;80;80;360;50Hertz;TenneT DE;50H_WEMA_CR_GOE;Erneuerbar
30.03.2024;09:30;CET;30.03.2024;19:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;205,03;656;1794;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
30.03.2024;09:30;CET;30.03.2024;17:00;CET;Strom- und Spannungsbedingter RD;Wirkleistungseinspeisung reduzieren;20,53;64;97,5;TransnetBW;50Hertz & Amprion & TenneT DE & TransnetBW;Börse;Sonstiges
30.03.2024;09:45;CET;30.03.2024;11:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;65;115;82;50Hertz;50Hertz;50H OWP Wikinger;Erneuerbar
30.03.2024;10:00;CET;30.03.2024;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;150;150;450;50Hertz;TenneT DE;50H_TEN_CR_M2_VIB;Erneuerbar
30.03.2024;10:00;CET;30.03.2024;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;150;150;450;50Hertz;TenneT DE;50H_TEN_CR_S1_ATF;Erneuerbar
30.03.2024;10:00;CET;30.03.2024;13:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;170;170;595;50Hertz;TenneT DE;50H_MNS_CR_KLM;Erneuerbar
30.03.2024;10:00;CET;30.03.2024;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;80;80;240;50Hertz;TenneT DE;50H_MNS_CR_JSN;Erneuerbar
30.03.2024;10:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;238;267;1665;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H OWP Arkona;Erneuerbar
30.03.2024;10:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;170;230;1190;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H OWP Wikinger;Erneuerbar
30.03.2024;10:45;CET;30.03.2024;19:30;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;275,86;330;2413,75;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Irsching 4;Konventionell
30.03.2024;11:00;CET;30.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;55;55;220;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;München Nord 2;Konventionell
30.03.2024;11:00;CET;30.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;70,25;81;281;TenneT DE;50Hertz & Amprion & TenneT DE & TransnetBW;Frankfurt West 4;Konventionell
30.03.2024;11:00;CET;30.03.2024;13:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;202;247;404;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NIEHL-31-GUD;Konventionell
30.03.2024;11:15;CET;30.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;640;700;2400;TenneT DE;TenneT DE;EE Bayern;Erneuerbar
30.03.2024;12:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1;2;6;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Altentreptow;Erneuerbar
30.03.2024;12:00;CET;30.03.2024;16:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1;2;5;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Iven;Erneuerbar
30.03.2024;12:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;3;4;13;50Hertz;50Hertz & Amprion & TenneT DE & TransnetBW;50H UW Wessin;Erneuerbar
30.03.2024;12:00;CET;30.03.2024;15:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;150;150;450;TenneT DE;TenneT DE;EE Bayern;Erneuerbar
30.03.2024;14:00;CET;31.03.2024;00:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;214;381;2142;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;KMW_KW3;Konventionell
30.03.2024;15:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;66;159;133;50Hertz;TenneT DE & APG;50H OWP Arcadis Ost 1;Erneuerbar
30.03.2024;15:00;CET;30.03.2024;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;89;127;200;50Hertz;TenneT DE & APG;50H OWP Arkona;Erneuerbar
30.03.2024;15:00;CET;30.03.2024;17:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;90;114;181;50Hertz;TenneT DE & APG;50H OWP Wikinger;Erneuerbar
30.03.2024;16:15;CET;30.03.2024;19:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;48,18;70;132,5;TenneT DE;TenneT DE;EE Niedersachsen;Erneuerbar
30.03.2024;16:45;CET;30.03.2024;19:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;40;40;100;TenneT DE;TenneT DE;EE Niedersachsen;Erneuerbar
30.03.2024;17:00;CET;30.03.2024;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;69;104;275;50Hertz;TenneT DE & APG;Jänschwalde (Standort);Konventionell
30.03.2024;17:00;CET;30.03.2024;21:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;156;156;624;50Hertz;TenneT DE & APG;Boxberg (Standort);Konventionell
30.03.2024;17:00;CET;30.03.2024;19:15;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;228;320;512;Amprion;50Hertz & Amprion & TenneT DE & TransnetBW;NIEDERAUSSEM_K;Konventionell
30.03.2024;17:00;CET;31.03.2024;00:00;CET;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;75;111;524;50Hertz;50Hertz;Jänschwalde (Standort);Konventionell
30.03.2024;18:00;CET;30.03.2024;20:00;CET;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;34;34;68;50Hertz;TenneT DE & APG;50H Berlin Reuter West;Konventionell
